company_id,from_year,to_year,previous_pattern,current_pattern
TATAPOWER,Mar 2020,Mar 2021,Reinvestor,Liquidating Assets
TATAPOWER,Mar 2021,Mar 2022,Liquidating Assets,Reinvestor
TATAPOWER,Mar 2022,Mar 2023,Reinvestor,Growth Funded by Debt
TATAPOWER,Mar 2023,Mar 2024,Growth Funded by Debt,Reinvestor
TATASTEEL,Mar 2013,Mar 2014,Reinvestor,Growth Funded by Debt
TATASTEEL,Mar 2014,Mar 2015,Growth Funded by Debt,Reinvestor
TATASTEEL,Mar 2017,Mar 2018,Reinvestor,Growth Funded by Debt
TATASTEEL,Mar 2018,Mar 2019,Growth Funded by Debt,Reinvestor
TCS,Mar 2017,Mar 2018,Reinvestor,Liquidating Assets
TCS,Mar 2020,Mar 2021,Liquidating Assets,Reinvestor
TCS,Mar 2022,Mar 2023,Reinvestor,Liquidating Assets
TCS,Mar 2024,Mar-13,Liquidating Assets,Reinvestor
TCS,Mar-17,Mar-18,Reinvestor,Liquidating Assets
TCS,Mar-20,Mar-21,Liquidating Assets,Reinvestor
TCS,Mar-22,Mar-23,Reinvestor,Liquidating Assets
TECHM,Mar 2013,Mar 2014,Growth Funded by Debt,Liquidating Assets
TECHM,Mar 2014,Mar 2015,Liquidating Assets,Reinvestor
TECHM,Mar 2019,Mar 2020,Reinvestor,Liquidating Assets
TECHM,Mar 2020,Mar 2021,Liquidating Assets,Reinvestor
TECHM,Mar 2021,Mar 2022,Reinvestor,Liquidating Assets
TECHM,Mar 2022,Mar 2023,Liquidating Assets,Reinvestor
TITAN,Mar 2013,Mar 2014,Reinvestor,Mixed
TITAN,Mar 2014,Mar 2015,Mixed,Reinvestor
TITAN,Mar 2017,Mar 2018,Reinvestor,Mixed
TITAN,Mar 2018,Mar 2019,Mixed,Reinvestor
TITAN,Mar 2019,Mar 2020,Reinvestor,Mixed
TITAN,Mar 2020,Mar 2021,Mixed,Reinvestor
TITAN,Mar 2021,Mar 2022,Reinvestor,Mixed
TITAN,Mar 2022,Mar 2023,Mixed,Growth Funded by Debt
TITAN,Mar 2023,Mar 2024,Growth Funded by Debt,Reinvestor
TORNTPHARM,Mar 2015,Mar 2016,Growth Funded by Debt,Reinvestor
TORNTPHARM,Mar 2017,Mar 2018,Reinvestor,Growth Funded by Debt
TORNTPHARM,Mar 2018,Mar 2019,Growth Funded by Debt,Reinvestor
TORNTPHARM,Mar 2019,Mar 2020,Reinvestor,Liquidating Assets
TORNTPHARM,Mar 2020,Mar 2021,Liquidating Assets,Reinvestor
TORNTPHARM,Mar 2022,Mar 2023,Reinvestor,Growth Funded by Debt
TORNTPHARM,Mar 2023,Mar 2024,Growth Funded by Debt,Reinvestor
TRENT,Mar 2013,Mar 2014,Growth Funded by Debt,Pre-Revenue
TRENT,Mar 2014,Mar 2015,Pre-Revenue,Mixed
TRENT,Mar 2015,Mar 2016,Mixed,Reinvestor
TRENT,Mar 2018,Mar 2019,Reinvestor,Growth Funded by Debt
TRENT,Mar 2020,Mar 2021,Growth Funded by Debt,Liquidating Assets
TRENT,Mar 2022,Mar 2023,Liquidating Assets,Reinvestor
TVSMOTOR,Mar 2014,Mar 2015,Reinvestor,Growth Funded by Debt
TVSMOTOR,Mar 2015,Mar 2016,Growth Funded by Debt,Reinvestor
TVSMOTOR,Mar 2017,Mar 2018,Reinvestor,Growth Funded by Debt
TVSMOTOR,Mar 2018,Mar 2019,Growth Funded by Debt,Mixed
TVSMOTOR,Mar 2019,Mar 2020,Mixed,Growth Funded by Debt
TVSMOTOR,Mar 2021,Mar 2022,Growth Funded by Debt,Mixed
ULTRACEMCO,Mar 2013,Mar 2014,Growth Funded by Debt,Reinvestor
ULTRACEMCO,Mar 2017,Mar 2018,Reinvestor,Liquidating Assets
ULTRACEMCO,Mar 2019,Mar 2020,Liquidating Assets,Reinvestor
ULTRACEMCO,Mar 2021,Mar 2022,Reinvestor,Liquidating Assets
ULTRACEMCO,Mar 2022,Mar 2023,Liquidating Assets,Reinvestor
UNIONBANK,Mar 2013,Mar 2014,Mixed,Growth Funded by Debt
UNIONBANK,Mar 2014,Mar 2015,Growth Funded by Debt,Mixed
UNIONBANK,Mar 2015,Mar 2016,Mixed,Reinvestor
UNIONBANK,Mar 2016,Mar 2017,Reinvestor,Mixed
UNIONBANK,Mar 2017,Mar 2018,Mixed,Growth Funded by Debt
UNIONBANK,Mar 2018,Mar 2019,Growth Funded by Debt,Mixed
UNIONBANK,Mar 2020,Mar 2021,Mixed,Reinvestor
UNITDSPR,Mar 2013,Mar 2014,Reinvestor,Mixed
UNITDSPR,Mar 2015,Mar 2016,Mixed,Liquidating Assets
UNITDSPR,Mar 2016,Mar 2017,Liquidating Assets,Reinvestor
UNITDSPR,Mar 2017,Mar 2018,Reinvestor,Liquidating Assets
UNITDSPR,Mar 2018,Mar 2019,Liquidating Assets,Reinvestor
UNITDSPR,Mar 2023,Mar 2024,Reinvestor,Liquidating Assets
VBL,Dec 2014,Dec 2015,Growth Funded by Debt,Reinvestor
VBL,Dec 2015,Dec 2016,Reinvestor,Growth Funded by Debt
VBL,Dec 2017,Dec 2018,Growth Funded by Debt,Reinvestor
VBL,Dec 2018,Dec 2019,Reinvestor,Growth Funded by Debt
VBL,Dec 2019,Dec 2020,Growth Funded by Debt,Reinvestor
VBL,Dec 2022,Dec 2023,Reinvestor,Growth Funded by Debt
VEDL,Mar 2013,Mar 2014,Growth Funded by Debt,Reinvestor
VEDL,Mar 2016,Mar 2017,Reinvestor,Liquidating Assets
VEDL,Mar 2018,Mar 2019,Liquidating Assets,Reinvestor
WIPRO,Mar 2017,Mar 2018,Reinvestor,Liquidating Assets
WIPRO,Mar 2021,Mar 2022,Liquidating Assets,Growth Funded by Debt
WIPRO,Mar 2022,Mar 2023,Growth Funded by Debt,Reinvestor
WIPRO,Mar 2023,Mar 2024,Reinvestor,Liquidating Assets
ZOMATO,Mar 2020,Mar 2021,Distress Signal,Mixed
ZOMATO,Mar 2023,Mar 2024,Mixed,Reinvestor
ZYDUSLIFE,Mar 2013,Mar 2014,Growth Funded by Debt,Reinvestor
ZYDUSLIFE,Mar 2016,Mar 2017,Reinvestor,Growth Funded by Debt
ZYDUSLIFE,Mar 2019,Mar 2020,Growth Funded by Debt,Reinvestor
ZYDUSLIFE,Mar 2022,Mar 2023,Reinvestor,Liquidating Assets
ZYDUSLIFE,Mar 2023,Mar 2024,Liquidating Assets,Reinvestor
